input	output
can you remind @CN@ to meet the beautician	hi @CN@, @SCN@ reminds you to meet the beautician
tell @CN@ to select a spot for the picinc	hi @CN@ , @SCN@ asks you to select a spot for the picinc
ask @CN@ to answer the call	hi @CN@ , @SCN@ requested you to answer the call.
can you tell @CN@ that the scores are tie	hey @CN@ , @SCN@ would like you to know that the scores are tie
could you please ask @CN@ , does julie drink tea?	hi @CN@ , @SCN@ would like to know, if julie drink tea?
can you ask @CN@ to give some advice to me	hey @CN@ , @SCN@ is requesting you to give some advice to them
ask @CN@ have you put on some weight	hey @CN@ , @SCN@ wishes to know whether you have put on some weight
can you ask @CN@ , where is your school located	hey @CN@ , @SCN@ wonders where is your school located
can you ask @CN@ , what’s it about?	hi @CN@ , @SCN@ would like to know what's it about
ask @CN@ about the author	hey @CN@ , @SCN@ wishes to know about the author
ask @CN@ , can you color the circle blue	hey @CN@ , @SCN@ is wondering if you can color the circle blue
can you tell @CN@ the new warehouse contains furniture and the old one electrical goods.	hi @CN@ , @SCN@ says the new warehouse contains furniture and the old one electrical goods.
ask @CN@ , is your school is located in this city?	hey @CN@ , @SCN@ is wondering if your school is located in this city
tell @CN@ that i have posted a photo in facebook	hey @CN@ , @SCN@ is informing that they have posted a photo in facebook
can you ask @CN@ , do you play tennis?	hi @CN@ , @SCN@ questioned you, do you play tennis.
ask @CN@ , how to open recurring deposit	hi @CN@ , @SCN@ wants to know how to open recurring deposit
ask @CN@ about his working hours	hey @CN@ , @SCN@ is eager to know about your working hours
inform my @CN@ that the room's been reserved for his wedding	hi @CN@ , @SCN@ says the room has been reserved for your wedding
ask @CN@, can you hear me	hi @CN@, @SCN@ wants to know whether can you hear me
tell @CN@ ,the wind circulation over the atlantic is of a very definite character	hey @CN@ , @SCN@ wants to tell you that the wind circulation over the atlantic is of a very definite character
ask @CN@ , could you please check the file	hi @CN@ , @SCN@ is requesting you to check the file
ask @CN@ ,do you want cheese buger?	hi @CN@ , @SCN@ would like to know if you want a cheese burger
can you remind @CN@ to meet the dentist	hi @CN@, @SCN@ reminds you to meet the dentist
could you remind @CN@ to brush his teeth	hi @CN@ , @SCN@ is asking you to brush your teeth
ask @CN@ , are you mad at me?	hey @CN@ , @SCN@ is asking if you are mad at him
ask @CN@ , are you ready to go	hey @CN@ , @SCN@ wants to know if you are ready to go
ask @CN@ , how to partition the memory	hi @CN@ , @SCN@ is asking how to partition the memory
remind @CN@ to apply for the tnpsc exam	hi @CN@, @SCN@ reminds you to apply for the tnpsc exam
tell @CN@ to complete the transfer	hi @CN@, @SCN@ asks you to complete the transfer
can you tell @CN@ i am sorry?	hi @CN@, @SCN@ says he is sorry.
can you ask @CN@ if she is interested to play tennis	hi @CN@ , @SCN@ wanted to know if you are interested to play tennis.
ask @CN@ why he has not called joe about the basketball game.	hey @CN@, @SCN@ wants to know why you have not called joe about the basketball game?
ask @CN@ to watch the game on sunday	hi @CN@, @SCN@ is inviting you to the game on sunday
can you ask @CN@ to entertain the kids	hi @CN@ , @SCN@ requested you to entertain the kids.
tell @CN@ i can't come to work today because i am sick	hello @CN@, @SCN@ will not be coming to work today because they are sick.
ask @CN@ do you pefer to drive?	hey @CN@ , @SCN@ likes to know whether you pefer to drive
ask @CN@ how to motivate the children	hey @CN@ , @SCN@ wants to know how to motivate the children
ask @CN@ , did they have any useful advice?	hi @CN@ , @SCN@ asked whether they have any useful advice
ask @CN@ to pay the rent	hi @CN@ , @SCN@ wanted you to pay the rent.
tell @CN@ to start the assembly	hi @CN@, @SCN@ asks you to start the assembly
tell @CN@ when i arrived there was no one in sight but a girl of about twelve.	hi @CN@ , @SCN@ tells when they arrived there was no one in sight but a girl of about twelve.
please ask @CN@ , can he join us for dinner tonight?	hi @CN@ , @SCN@ is pleased to know if you could join them for dinner tonight?
ask @CN@ , does she have enough money?	hi @CN@ , @SCN@ asked to know whether you have enough money
ask @CN@ , will matty have lunch with don	hi @CN@ , @SCN@ wanted to know if matty would like to have lunch with don.
can you tell @CN@ that donations are accepted	hi @CN@ , @SCN@ would like you to know that donations are accepted
tell @CN@ , the children are not in their room.	hey @CN@ , @SCN@ says the children are not in their room.
ask @CN@ about his area of liking to start a buissness	hi @CN@ , @SCN@ wishes to know about your area of liking to start a buissness
ask @CN@, does sara live in boston	hi @CN@, @SCN@ wants to know whether sara live in boston
can you ask @CN@ to install that software	hey @CN@ , @SCN@ requests you to install that software
can you tell @CN@ that the car is expensive	hi @CN@ , @SCN@ would like to say that the car is expensive
ask @CN@ , will you help me	hi @CN@ , @SCN@ is curious if you would help him.
can you tell @CN@ that the puzzles are solvable	hi @CN@ , @SCN@ conveys that the puzzles are solvable
can you tell @CN@ that uv sun glasses are mandatory	hi @CN@ , @SCN@ informs you that uv sun glasses are mandatory
ask @CN@ would you see clowns	hi @CN@ @SCN@ wants to know would you see clowns
call @CN@ for an inter corporate sports meet	hi @CN@ , @SCN@ would like you to attend an inter corporate sports meet
ask @CN@ about michael	hi @CN@ , @SCN@ would like to know about michael.
ask @CN@ about his favourite video game	hi @CN@ , @SCN@ requests to know about your favourite video game
ask @CN@ , does she like hockey?	hi @CN@ , @SCN@ asked if you like hockey
ask @CN@ ,how does this work?	hi @CN@ , @SCN@ asks how does this work?
ask @CN@, how do the police help you?	hi @CN@, @SCN@ is asking how do the police help you
could you ask @CN@ ,do you like the place?	hi @CN@ , @SCN@ would like to know if you like the place
ask @CN@ about the coffeemaker	hi @CN@ , @SCN@ likes to know about the coffeemaker.
ask @CN@ if they want to go to my sister's birthday party on the 29th.	hi @CN@, @SCN@ would like you to go to @SCN@'s sister's birthday party on the 29th.
ask @CN@ what do you usually think about just before going to sleep at night	hey @CN@ @SCN@ is wondering what do you usually think about just before going to sleep at night
ask @CN@ about his favourite sport	hey @CN@ , @SCN@ is excited to know about your favourite sport
please let @CN@ know that his basketball is still at my house	hi @CN@ , @SCN@ says your basketball is still at @SCN@ 's house
ask @CN@ about her new bicycle	hi @CN@ , @SCN@ wants to know about your new bicycle
ask @CN@, who was not at the meeting?	hi @CN@, @SCN@ wants to know who was not at the meeting.
can you ask @CN@ to get high score in the exam.	hi @CN@, @SCN@ asks you to get high score in the exam.
ask @CN@ , do you usually work on weekends	hi @CN@ , @SCN@ asks whether you went to work on weekends
please ask @CN@ to accept the offer	hi @CN@ , @SCN@ would like you to accept the offer.
remind @CN@ to receive any gifts with approval	@SCN@ reminds to receive any gifts with approval
can you tell @CN@ the author is spanish	hey @CN@ , @SCN@ would like you to know that the author is spanish
can you tell @CN@ that i'll miss her	hi @CN@ , @SCN@ says @SCN@ will miss you
ask @CN@ to come to cake and ice-cream	hi @CN@ , @SCN@ would like to invite you for cake and ice-cream
ask @CN@ , how to stay awake	hi @CN@ , @SCN@ would like to know how to stay awake
can you ask @CN@ to pass the paper	hi lisa, @SCN@ would like you to pass the paper
can you ask @CN@ if her sister is present	hi @CN@ , @SCN@ requested if your sister is present
can you ask @CN@ , why are you so unhappy	hey @CN@ , @SCN@ is asking why you are so unhappy
ask @CN@ to inform the death of our grandma to our family	hi @CN@ , @SCN@ is asking you to inform the death of your grandma to your family
ask @CN@ , can you understand my situation?	hey @CN@ , @SCN@ is asking if you can understand her situation
ask @CN@ , do you have a pet	hey @CN@ , @SCN@ is wondering if you have a pet
ask @CN@ how to make a spicy recipe	hi @CN@ , @SCN@ likes to know how to make a spicy recipe
can you ask @CN@ to render new life	hi @CN@ , @SCN@ demanded you to render new life.
can you ask @CN@ when is she coming over?	hi @CN@, @SCN@ wants to know when you are coming over.
ask @CN@ to watch science fiction movies	hey @CN@ , @SCN@ is telling you to watch science fiction movies
ask @CN@ to clean the chicken	hi @CN@ , @SCN@ is requesting you to clean the chicken
ask @CN@ , do you have any ideas on the user experience	hi @CN@ , @SCN@ wonders whether you have any ideas on the user experience
can you tell @CN@ that the dishwasher has to be repaired	hi @CN@ , @SCN@ informs you that the dishwasher has to be repaired
remind @CN@ to be there at 6am in the driving class	hi @CN@, @SCN@ is asking you to be there at 6am in the driving class
ask @CN@ what colour is his new car	hey @CN@ , @SCN@ would like to know what colour yout new car is
ask @CN@ how to prepare a perfect coffee	hey @CN@ , @SCN@ would like to know how to prepare a perfect coffee
ask @CN@ where does milk come from	hi @CN@ @SCN@ wants to know where does milk come from
ask @CN@ , can you take grandma to the hospital	hey @CN@ , @SCN@ is requesting you to take grandma to the hospital
can you ask @CN@ when is he going to study?	hi @CN@, @SCN@ would like to know when are you going to study?
can you tell @CN@ to get good grades	hey @CN@ , @SCN@ requests you to get good grades
ask @CN@ , is he a dancer?	hey @CN@ , @SCN@ is questioning whether you are a dancer?
ask @CN@ to stay stronger	hi @CN@ , @SCN@ wanted you to stay stronger.
